v,vw,o,c,h,l,t,n
28484777.0,172.4231,174.31,171.96,174.47,171.47,1710129600000,409871
36590204.0,175.3072,173.5,175.39,176.76,171.98,1710216000000,416721
30705600.0,176.729,175.9,176.555,177.62,175.55,1710302400000,362922
43705840.0,178.4157,177.69,178.75,179.53,176.465,1710388800000,461845
71805390.0,175.0471,176.64,174.42,177.93,173.9,1710475200000,465349
31251524.0,175.088,175.8,174.48,176.69,174.28,1710734400000,358833
26862093.0,175.3683,174.215,175.9,176.09,173.52,1710820800000,318060
29947150.0,176.6897,176.14,178.15,178.53,174.64,1710907200000,355615
32824320.0,179.3211,179.988,178.15,181.415,178.15,1710993600000,377254
27995378.0,178.5495,177.752,178.87,179.255,176.75,1711080000000,295011
29815464.0,179.6492,178.01,179.71,180.99,177.24,1711339200000,352597
29658982.0,179.1228,180.15,178.3,180.45,177.95,1711425600000,326743
32672551.0,179.1032,179.88,179.83,180,177.3099,1711512000000,341920
37970288.0,180.4856,180.17,180.38,181.7,179.26,1711598400000,364799
29174521.0,180.9175,180.79,180.97,183,179.95,1711944000000,370612
32605246.0,180.0752,179.07,180.69,180.79,178.3762,1712030400000,355847
31024438.0,182.085,179.9,182.41,182.87,179.8,1712116800000,350781
41624261.0,182.5315,184,180,185.1,180,1712203200000,465372
42373992.0,184.7021,182.38,185.07,186.27,181.97,1712289600000,465500
39221282.0,185.8041,186.9,185.19,187.29,184.81,1712548800000,427793
36529846.0,185.5047,187.24,185.67,187.34,184.2,1712635200000,400970
35879151.0,185.0344,182.765,185.95,186.2699,182.67,1712721600000,448182
40020742.0,187.97,186.74,189.05,189.77,185.51,1712808000000,445674
38474349.0,186.5585,187.72,186.13,188.38,185.08,1712894400000,420405
45883331.0,185.5439,187.425,183.62,188.69,183,1713153600000,507779
32189090.0,183.7052,183.27,183.32,184.83,182.26,1713240000000,400832
30588798.0,182.0551,184.31,181.28,184.57,179.82,1713326400000,395747
30438610.0,180.2708,181.47,179.22,182.39,178.65,1713412800000,383853
55099718.0,175.546,178.74,174.63,179,173.44,1713499200000,569799
37276971.0,176.7175,176.94,177.23,178.87,174.56,1713758400000,396237
35883580.0,178.5015,178.08,179.54,179.93,175.975,1713844800000,379352
32338288.0,177.2697,179.94,176.59,180.323,176.18,1713931200000,405260
47859606.0,171.9888,169.68,173.67,173.92,166.32,1714017600000,618220
42991451.0,178.9583,177.795,179.62,180.82,176.13,1714104000000,478122
53420432.0,180.6596,182.75,180.96,183.53,179.39,1714363200000,592772
92358467.0,178.7844,181.09,175,182.99,174.8,1714449600000,852770
93365237.0,180.4115,181.635,179,185.15,176.56,1714536000000,964449
53548619.0,183.1725,180.85,184.72,185.1,179.91,1714622400000,529375
38922939.0,186.4292,186.99,186.21,187.87,185.42,1714708800000,413882
33541815.0,187.0004,186.28,188.7,188.745,184.8,1714968000000,394601
33118358.0,188.7462,188.92,188.76,189.94,187.305,1715054400000,400690
25323433.0,187.6252,187.44,188,188.43,186.385,1715140800000,306809
43246564.0,189.9413,188.88,189.5,191.7,187.44,1715227200000,460845
33819603.0,188.0401,189.16,187.48,189.892,186.93,1715313600000,355958
24513188.0,186.4324,188,186.57,188.31,185.36,1715572800000,333222
38512093.0,185.9179,183.82,187.07,187.72,183.45,1715659200000,426678
75107139.0,184.7257,185.97,185.99,186.7193,182.73,1715745600000,786170
38582942.0,185.2026,185.6,183.63,187.31,183.46,1715832000000,411898
32700331.0,184.5338,183.76,184.7,185.3,183.35,1715918400000,339388
29911295.0,184.4671,184.34,183.54,186.665,183.28,1716177600000,371966
50090936.0,181.8495,182.3,183.15,183.26,180.75,1716264000000,515567
27875809.0,183.4607,183.88,183.13,185.22,181.9715,1716350400000,344801
32479977.0,182.1607,183.66,181.05,184.76,180.08,1716436800000,384702
27048008.0,181.3771,181.65,180.75,182.435,180.3,1716523200000,333183
29260373.0,181.1736,179.93,182.15,182.24,179.49,1716868800000,401018
31494536.0,182.6171,181.7,182.02,184.08,181.55,1716955200000,361201
28549108.0,179.8132,181.31,179.32,181.34,178.355,1717041600000,392705
57234811.0,175.6374,178.3,176.44,179.21,173.87,1717128000000,614367
30194892.0,177.3808,177.7,178.34,178.7,175.92,1717387200000,415179
26732168.0,178.5733,177.64,179.34,179.82,176.44,1717473600000,329542
31902377.0,180.7307,180.1,181.28,181.5,178.75,1717560000000,362018
31012850.0,183.7255,181.745,185,185,181.49,1717646400000,373997
27637514.0,184.8955,184.9,184.3,186.2888,183.36,1717732800000,336057
32368590.0,186.3572,184.07,187.06,187.23,183.79,1717992000000,385151
26638046.0,186.2448,187.06,187.23,187.77,184.5373,1718078400000,341751
33518012.0,187.072,188.015,186.89,188.35,185.43,1718164800000,443140
38150065.0,184.4621,186.09,183.83,187.67,182.666,1718251200000,422806
24233801.0,183.1903,183.08,183.66,183.72,182.23,1718337600000,307332
33513867.0,183.2666,182.52,184.06,185,181.22,1718596800000,432268
35743521.0,182.658,183.735,182.81,184.29,181.43,1718683200000,390303
44205331.0,185.17,182.91,186.1,186.51,182.72,1718856000000,471693
66858255.0,188.0574,187.8,189.08,189.275,185.86,1718942400000,435715
48143614.0,187.3312,189.33,185.57,191,185.33,1719201600000,535288
44586537.0,186.97,186.81,186.34,188.84,185.42,1719288000000,382026
61298487.0,192.1127,186.92,193.61,194.8,186.26,1719374400000,649500
73974152.0,197.3166,195.005,197.85,199.84,194.2,1719460800000,721913
71149090.0,194.7864,197.73,193.25,198.85,192.5,1719547200000,605459
40501333.0,196.0943,193.49,197.2,198.2957,192.82,1719806400000,501252
