v,vw,o,c,h,l,t,n
94803,1.3574,1.35274,1.3604,1.3635,1.3517,1711065600000,94803
1284,1.3608,1.36001,1.36117,1.36118,1.36001,1711238400000,1284
85746,1.359,1.36115,1.3585,1.36136,1.3568,1711324800000,85746
83943,1.3574,1.35854,1.35819,1.35904,1.34908,1711411200000,83943
89159,1.359,1.35819,1.3583,1.3608,1.3562,1711497600000,89159
95383,1.3568,1.35852,1.35363,1.36137,1.35093,1711584000000,95383
34017,1.3544,1.3536,1.3539,1.35613,1.3028,1711670400000,34017
2840,1.3526,1.35384,1.35216,1.35391,1.3518,1711843200000,2840
75767,1.3553,1.35214,1.35737,1.35863,1.3512,1711929600000,75767
83873,1.357,1.3571,1.35642,1.35844,1.35226,1712016000000,83873
88780,1.3552,1.3564,1.3524,1.3589,1.34959,1712102400000,88780
91658,1.3514,1.35238,1.35435,1.3559,1.3475,1712188800000,91658
103430,1.3585,1.35436,1.3588,1.36474,1.3538,1712275200000,103430
1884,1.36,1.35929,1.3604,1.36053,1.3592,1712448000000,1884
102058,1.359,1.36039,1.35707,1.36166,1.3516,1712534400000,102058
96591,1.3575,1.35706,1.35728,1.35985,1.3545,1712620800000,96591
113303,1.3638,1.35725,1.36885,1.3703,1.3555,1712707200000,113303
120119,1.3688,1.3687,1.3686,1.37257,1.3659,1712793600000,120119
116009,1.3743,1.36867,1.3773,1.3787,1.3495,1712880000000,116009
2524,1.3765,1.37656,1.3759,1.37783,1.3753,1713052800000,2524
126916,1.3758,1.37586,1.37865,1.37933,1.3723,1713139200000,126916
144292,1.3811,1.3786,1.3819,1.38459,1.3772,1713225600000,144292
131593,1.3801,1.38188,1.37711,1.38376,1.37107,1713312000000,131593
122296,1.376,1.37709,1.37707,1.37813,1.37266,1713398400000,122296
148909,1.3763,1.37707,1.3797,1.3804,1.36544,1713484800000,148909
1815,1.3743,1.37444,1.3738,1.37524,1.3736,1713657600000,1815
107669,1.372,1.37388,1.3699,1.37497,1.3684,1713744000000,107669
113858,1.3686,1.37,1.36617,1.37142,1.36324,1713830400000,113858
87149,1.3689,1.36615,1.3702,1.37287,1.3652,1713916800000,87149
112707,1.3688,1.37037,1.36594,1.37308,1.36438,1714003200000,112707
107808,1.3659,1.36589,1.3679,1.36956,1.35527,1714089600000,107808
1283,1.3661,1.36706,1.36555,1.36706,1.3653,1714262400000,1283
110071,1.3654,1.36554,1.3665,1.36768,1.36142,1714348800000,110071
110500,1.3721,1.36673,1.3777,1.37846,1.366,1714435200000,110500
103036,1.3759,1.37773,1.37305,1.37827,1.36913,1714521600000,103036
110490,1.3706,1.37202,1.3666,1.37295,1.36568,1714608000000,110490
112150,1.3665,1.36652,1.3685,1.36912,1.3608,1714694400000,112150
1183,1.3684,1.3666,1.36913,1.36919,1.3666,1714867200000,1183
81356,1.367,1.36914,1.36647,1.3697,1.35956,1714953600000,81356
98464,1.3693,1.36651,1.3733,1.37412,1.3658,1715040000000,98464
96030,1.3742,1.37334,1.37277,1.3763,1.37057,1715126400000,96030
94081,1.3709,1.37281,1.36774,1.37378,1.36679,1715212800000,94081
88086,1.3672,1.36778,1.36672,1.36902,1.36,1715299200000,88086
2012,1.3673,1.36655,1.36771,1.3678,1.3664,1715472000000,2012
79494,1.3675,1.36772,1.36658,1.36896,1.3651,1715558400000,79494
89226,1.3662,1.36662,1.36534,1.36899,1.3631,1715644800000,89226
94390,1.3625,1.36533,1.35974,1.3661,1.35622,1715731200000,94390
92875,1.3616,1.35976,1.36146,1.3641,1.3588,1715817600000,92875
80095,1.3622,1.36144,1.3611,1.36436,1.3599,1715904000000,80095
1713,1.3608,1.36121,1.36086,1.36131,1.3603,1716076800000,1713
89210,1.3613,1.36085,1.36232,1.36352,1.3594,1716163200000,89210
100688,1.364,1.36228,1.3641,1.36752,1.35845,1716249600000,100688
101683,1.3663,1.36406,1.36901,1.36979,1.362,1716336000000,101683
117876,1.3693,1.36901,1.37326,1.37433,1.36244,1716422400000,117876
97086,1.3701,1.37325,1.3674,1.37381,1.3646,1716508800000,97086
1900,1.3665,1.36612,1.36697,1.3671,1.36572,1716681600000,1900
58123,1.365,1.36696,1.36282,1.36704,1.3581,1716768000000,58123
100634,1.3632,1.36281,1.36469,1.3654,1.3612,1716854400000,100634
106599,1.3682,1.36469,1.37169,1.3723,1.3644,1716940800000,106599
108837,1.37,1.3717,1.36833,1.37345,1.3658,1717027200000,108837
116823,1.365,1.36834,1.3628,1.36894,1.35413,1717113600000,116823
2660,1.3626,1.36285,1.36189,1.36328,1.3617,1717286400000,2660
122450,1.3635,1.36192,1.36284,1.36685,1.36,1717372800000,122450
129677,1.3671,1.36288,1.36766,1.36988,1.3618,1717459200000,129677
112740,1.3688,1.36764,1.36901,1.37415,1.3663,1717545600000,112740
102807,1.3684,1.36899,1.36682,1.37098,1.36538,1717632000000,102807
120259,1.3709,1.36678,1.37394,1.37673,1.36544,1717718400000,120259
2378,1.3762,1.37572,1.37586,1.37679,1.3755,1717891200000,2378
105083,1.3766,1.3759,1.37601,1.37817,1.3747,1717977600000,105083
108821,1.3767,1.37602,1.37546,1.37915,1.3745,1718064000000,108821
121825,1.3719,1.37549,1.37212,1.3762,1.36577,1718150400000,121825
115679,1.3742,1.37214,1.37442,1.37634,1.36541,1718236800000,115679
118362,1.3751,1.3744,1.37018,1.37792,1.36429,1718323200000,118362
2413,1.3732,1.37335,1.3733,1.37385,1.37227,1718496000000,2413
94828,1.3741,1.37346,1.37139,1.37642,1.3711,1718582400000,94828
103764,1.3729,1.37137,1.37168,1.3757,1.3707,1718668800000,103764
65711,1.3713,1.37168,1.3705,1.3726,1.36777,1718755200000,65711
82480,1.3704,1.37065,1.36847,1.3721,1.36686,1718841600000,82480
75725,1.3694,1.36842,1.3691,1.37176,1.36505,1718928000000,75725
2368,1.3695,1.3687,1.37001,1.3702,1.36849,1719100800000,2368
92975,1.3675,1.37,1.36578,1.3708,1.36445,1719187200000,92975
90811,1.3656,1.36579,1.36611,1.36804,1.36063,1719273600000,90811
96927,1.3682,1.3659,1.37047,1.37076,1.3648,1719360000000,96927
96736,1.3691,1.37046,1.3698,1.37123,1.3674,1719446400000,96736
111975,1.3699,1.36995,1.36507,1.3734,1.36482,1719532800000,111975
2451,1.3671,1.36705,1.3673,1.36745,1.36598,1719705600000,2451
85654,1.3699,1.36741,1.37378,1.37482,1.3661,1719792000000,85654
